datetime_key, date_key, hour_key, season_key, weather_key, holiday_flag, workingday_flag, temperature, feeling_temp, humidity, windspeed, casual, registered, total_count
  2011010214, 20110102,       14,          1,           3,            0,               0,        0.36,       0.3485,     0.76,    0.194 ,      4,         55,          59
  2011010215, 20110102,       15,          1,           3,            0,               0,        0.34,       0.3333,     0.81,    0.1642,     19,         55,          74
  2011010216, 20110102,       16,          1,           3,            0,               0,        0.34,       0.3333,     0.71,    0.1642,      9,         67,          76
  2011010217, 20110102,       17,          1,           1,            0,               0,        0.34,       0.3333,     0.57,    0.194 ,      7,         58,          65
  2011010218, 20110102,       18,          1,           2,            0,               0,        0.36,       0.3333,     0.46,    0.3284,     10,         43,          53
  2011010219, 20110102,       19,          1,           1,            0,               0,        0.32,       0.2879,     0.42,    0.4478,      1,         29,          30
  2011010220, 20110102,       20,          1,           1,            0,               0,        0.3 ,       0.2727,     0.39,    0.3582,      5,         17,          22
  2011010221, 20110102,       21,          1,           1,            0,               0,        0.26,       0.2273,     0.44,    0.3284,     11,         20,          31
  2011010222, 20110102,       22,          1,           1,            0,               0,        0.24,       0.2121,     0.44,    0.2985,      0,          9,           9
  2011010223, 20110102,       23,          1,           1,            0,               0,        0.22,       0.2273,     0.47,    0.1642,      0,          8,           8
  2011010300, 20110103,        0,          1,           1,            0,               1,        0.22,       0.197 ,     0.44,    0.3582,      0,          5,           5
  2011010301, 20110103,        1,          1,           1,            0,               1,        0.2 ,       0.1667,     0.44,    0.4179,      0,          2,           2
  2011010304, 20110103,        4,          1,           1,            0,               1,        0.16,       0.1364,     0.47,    0.3881,      0,          1,           1
  2011010305, 20110103,        5,          1,           1,            0,               1,        0.16,       0.1364,     0.47,    0.2836,      0,          3,           3
  2011010306, 20110103,        6,          1,           1,            0,               1,        0.14,       0.1061,     0.5 ,    0.3881,      0,         30,          30
  2011010307, 20110103,        7,          1,           1,            0,               1,        0.14,       0.1364,     0.5 ,    0.194 ,      1,         63,          64
  2011010308, 20110103,        8,          1,           1,            0,               1,        0.14,       0.1212,     0.5 ,    0.2836,      1,        153,         154
  2011010309, 20110103,        9,          1,           1,            0,               1,        0.16,       0.1364,     0.43,    0.3881,      7,         81,          88
  2011010310, 20110103,       10,          1,           1,            0,               1,        0.18,       0.1667,     0.43,    0.2537,     11,         33,          44
  2011010311, 20110103,       11,          1,           1,            0,               1,        0.2 ,       0.1818,     0.4 ,    0.3284,     10,         41,          51
  2011010312, 20110103,       12,          1,           1,            0,               1,        0.22,       0.2121,     0.35,    0.2985,     13,         48,          61
  2011010313, 20110103,       13,          1,           1,            0,               1,        0.24,       0.2121,     0.35,    0.2836,      8,         53,          61
  2011010314, 20110103,       14,          1,           1,            0,               1,        0.26,       0.2424,     0.3 ,    0.2836,     11,         66,          77
  2011010315, 20110103,       15,          1,           1,            0,               1,        0.26,       0.2424,     0.3 ,    0.2537,     14,         58,          72
  2011010316, 20110103,       16,          1,           1,            0,               1,        0.26,       0.2424,     0.3 ,    0.2537,      9,         67,          76
  2011010317, 20110103,       17,          1,           1,            0,               1,        0.24,       0.2273,     0.3 ,    0.2239,     11,        146,         157
  2011010318, 20110103,       18,          1,           1,            0,               1,        0.24,       0.2576,     0.32,    0.1045,      9,        148,         157
  2011010319, 20110103,       19,          1,           1,            0,               1,        0.2 ,       0.2576,     0.47,    0.0   ,      8,        102,         110
  2011010320, 20110103,       20,          1,           1,            0,               1,        0.2 ,       0.2273,     0.47,    0.1045,      3,         49,          52
  2011010321, 20110103,       21,          1,           1,            0,               1,        0.18,       0.197 ,     0.64,    0.1343,      3,         49,          52
  2011010322, 20110103,       22,          1,           1,            0,               1,        0.14,       0.1515,     0.69,    0.1343,      0,         20,          20
  2011010323, 20110103,       23,          1,           1,            0,               1,        0.18,       0.2121,     0.55,    0.1045,      1,         11,          12
  2011010400, 20110104,        0,          1,           1,            0,               1,        0.16,       0.1818,     0.55,    0.1045,      0,          5,           5
  2011010401, 20110104,        1,          1,           1,            0,               1,        0.16,       0.1818,     0.59,    0.1045,      0,          2,           2
  2011010402, 20110104,        2,          1,           1,            0,               1,        0.14,       0.1515,     0.63,    0.1343,      0,          1,           1
  2011010404, 20110104,        4,          1,           1,            0,               1,        0.14,       0.1818,     0.63,    0.0896,      0,          2,           2
  2011010405, 20110104,        5,          1,           1,            0,               1,        0.12,       0.1515,     0.68,    0.1045,      0,          4,           4
  2011010406, 20110104,        6,          1,           1,            0,               1,        0.12,       0.1515,     0.74,    0.1045,      0,         36,          36
  2011010407, 20110104,        7,          1,           1,            0,               1,        0.12,       0.1515,     0.74,    0.1343,      2,         92,          94
  2011010408, 20110104,        8,          1,           1,            0,               1,        0.14,       0.1515,     0.69,    0.1642,      2,        177,         179
  2011010409, 20110104,        9,          1,           1,            0,               1,        0.16,       0.1515,     0.64,    0.2239,      2,         98,         100
  2011010410, 20110104,       10,          1,           2,            0,               1,        0.16,       0.1364,     0.69,    0.3284,      5,         37,          42
  2011010411, 20110104,       11,          1,           1,            0,               1,        0.22,       0.2121,     0.51,    0.2985,      7,         50,          57
  2011010412, 20110104,       12,          1,           1,            0,               1,        0.22,       0.2273,     0.51,    0.1642,     12,         66,          78
  2011010413, 20110104,       13,          1,           1,            0,               1,        0.24,       0.2273,     0.56,    0.194 ,     18,         79,          97
  2011010414, 20110104,       14,          1,           1,            0,               1,        0.26,       0.2576,     0.52,    0.2239,      9,         54,          63
  2011010415, 20110104,       15,          1,           1,            0,               1,        0.28,       0.2727,     0.52,    0.2537,     17,         48,          65
  2011010416, 20110104,       16,          1,           1,            0,               1,        0.3 ,       0.2879,     0.49,    0.2537,     15,         68,          83
  2011010417, 20110104,       17,          1,           1,            0,               1,        0.28,       0.2727,     0.48,    0.2239,     10,        202,         212
  2011010418, 20110104,       18,          1,           1,            0,               1,        0.26,       0.2576,     0.48,    0.194 ,      3,        179,         182
  2011010419, 20110104,       19,          1,           1,            0,               1,        0.24,       0.2576,     0.48,    0.1045,      2,        110,         112
  2011010420, 20110104,       20,          1,           1,            0,               1,        0.24,       0.2576,     0.48,    0.1045,      1,         53,          54
  2011010421, 20110104,       21,          1,           1,            0,               1,        0.22,       0.2727,     0.64,    0.0   ,      0,         48,          48
  2011010422, 20110104,       22,          1,           1,            0,               1,        0.22,       0.2576,     0.64,    0.0896,      1,         34,          35
  2011010423, 20110104,       23,          1,           1,            0,               1,        0.2 ,       0.2273,     0.69,    0.0896,      2,          9,          11
  2011010500, 20110105,        0,          1,           1,            0,               1,        0.2 ,       0.2576,     0.64,    0.0   ,      0,          6,           6
  2011010501, 20110105,        1,          1,           1,            0,               1,        0.16,       0.197 ,     0.74,    0.0896,      0,          6,           6
  2011010502, 20110105,        2,          1,           1,            0,               1,        0.16,       0.197 ,     0.74,    0.0896,      0,          2,           2
  2011010504, 20110105,        4,          1,           1,            0,               1,        0.24,       0.2273,     0.48,    0.2239,      0,          2,           2
  2011010505, 20110105,        5,          1,           1,            0,               1,        0.22,       0.2273,     0.47,    0.1642,      0,          3,           3
  2011010506, 20110105,        6,          1,           1,            0,               1,        0.2 ,       0.197 ,     0.47,    0.2239,      0,         33,          33
  2011010507, 20110105,        7,          1,           1,            0,               1,        0.18,       0.1818,     0.43,    0.194 ,      1,         87,          88
  2011010508, 20110105,        8,          1,           1,            0,               1,        0.2 ,       0.1818,     0.4 ,    0.2985,      3,        192,         195
  2011010509, 20110105,        9,          1,           1,            0,               1,        0.22,       0.197 ,     0.37,    0.3284,      6,        109,         115
  2011010510, 20110105,       10,          1,           1,            0,               1,        0.22,       0.197 ,     0.37,    0.3284,      4,         53,          57
  2011010511, 20110105,       11,          1,           1,            0,               1,        0.26,       0.2273,     0.33,    0.3284,     12,         34,          46
  2011010512, 20110105,       12,          1,           1,            0,               1,        0.26,       0.2273,     0.33,    0.3284,      5,         74,          79
  2011010513, 20110105,       13,          1,           1,            0,               1,        0.28,       0.2576,     0.3 ,    0.2985,      6,         65,          71
  2011010514, 20110105,       14,          1,           1,            0,               1,        0.3 ,       0.2879,     0.28,    0.194 ,     10,         52,          62
  2011010515, 20110105,       15,          1,           1,            0,               1,        0.3 ,       0.2879,     0.28,    0.194 ,      7,         55,          62
  2011010516, 20110105,       16,          1,           1,            0,               1,        0.3 ,       0.3182,     0.28,    0.0896,      4,         85,          89
  2011010517, 20110105,       17,          1,           1,            0,               1,        0.24,       0.2273,     0.38,    0.194 ,      4,        186,         190
  2011010518, 20110105,       18,          1,           1,            0,               1,        0.24,       0.2424,     0.38,    0.1343,      3,        166,         169
  2011010519, 20110105,       19,          1,           1,            0,               1,        0.24,       0.2576,     0.38,    0.1045,      5,        127,         132
  2011010520, 20110105,       20,          1,           1,            0,               1,        0.22,       0.2273,     0.47,    0.1642,      7,         82,          89
  2011010521, 20110105,       21,          1,           1,            0,               1,        0.2 ,       0.197 ,     0.51,    0.194 ,      3,         40,          43
  2011010522, 20110105,       22,          1,           1,            0,               1,        0.18,       0.197 ,     0.55,    0.1343,      1,         41,          42
  2011010523, 20110105,       23,          1,           1,            0,               1,        0.2 ,       0.2576,     0.47,    0.0   ,      1,         18,          19
  2011010600, 20110106,        0,          1,           1,            0,               1,        0.18,       0.2424,     0.55,    0.0   ,      0,         11,          11
  2011010601, 20110106,        1,          1,           1,            0,               1,        0.16,       0.2273,     0.64,    0.0   ,      0,          4,           4
  2011010602, 20110106,        2,          1,           1,            0,               1,        0.16,       0.2273,     0.64,    0.0   ,      0,          2,           2
  2011010604, 20110106,        4,          1,           2,            0,               1,        0.16,       0.197 ,     0.64,    0.0896,      0,          1,           1
  2011010605, 20110106,        5,          1,           2,            0,               1,        0.14,       0.1818,     0.69,    0.0896,      0,          4,           4
  2011010606, 20110106,        6,          1,           2,            0,               1,        0.14,       0.1667,     0.63,    0.1045,      0,         36,          36
  2011010607, 20110106,        7,          1,           2,            0,               1,        0.16,       0.2273,     0.59,    0.0   ,      0,         95,          95
  2011010608, 20110106,        8,          1,           1,            0,               1,        0.16,       0.2273,     0.59,    0.0   ,      3,        216,         219
  2011010609, 20110106,        9,          1,           2,            0,               1,        0.18,       0.2424,     0.51,    0.0   ,      6,        116,         122
  2011010610, 20110106,       10,          1,           1,            0,               1,        0.2 ,       0.2576,     0.47,    0.0   ,      3,         42,          45
  2011010611, 20110106,       11,          1,           1,            0,               1,        0.22,       0.2576,     0.44,    0.0896,      2,         57,          59
  2011010612, 20110106,       12,          1,           1,            0,               1,        0.26,       0.2879,     0.35,    0.0   ,      6,         78,          84
  2011010613, 20110106,       13,          1,           1,            0,               1,        0.26,       0.2727,     0.35,    0.1045,     12,         55,          67
  2011010614, 20110106,       14,          1,           1,            0,               1,        0.28,       0.2727,     0.36,    0.1642,     11,         59,          70
  2011010615, 20110106,       15,          1,           1,            0,               1,        0.28,       0.2727,     0.36,    0.0   ,      8,         54,          62
  2011010616, 20110106,       16,          1,           1,            0,               1,        0.26,       0.2576,     0.38,    0.1642,     12,         74,          86
  2011010617, 20110106,       17,          1,           1,            0,               1,        0.22,       0.2273,     0.51,    0.1642,      9,        163,         172
  2011010618, 20110106,       18,          1,           1,            0,               1,        0.22,       0.2273,     0.51,    0.1343,      5,        158,         163
  2011010619, 20110106,       19,          1,           1,            0,               1,        0.22,       0.2576,     0.55,    0.0896,      3,        109,         112
  2011010620, 20110106,       20,          1,           1,            0,               1,        0.2 ,       0.2121,     0.51,    0.1642,      3,         66,          69
  2011010621, 20110106,       21,          1,           2,            0,               1,        0.22,       0.2121,     0.55,    0.2239,      0,         48,          48
  2011010622, 20110106,       22,          1,           2,            0,               1,        0.22,       0.2121,     0.51,    0.2836,      1,         51,          52
  2011010623, 20110106,       23,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.59,    0.194 ,      4,         19,          23
  2011010700, 20110107,        0,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.64,    0.194 ,      4,         13,          17
  2011010701, 20110107,        1,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.69,    0.2239,      2,          5,           7
  2011010702, 20110107,        2,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.69,    0.2239,      0,          1,           1
  2011010704, 20110107,        4,          1,           2,            0,               1,        0.2 ,       0.2121,     0.69,    0.1343,      0,          1,           1
  2011010705, 20110107,        5,          1,           3,            0,               1,        0.22,       0.2727,     0.55,    0.0   ,      0,          5,           5
  2011010706, 20110107,        6,          1,           2,            0,               1,        0.2 ,       0.2576,     0.69,    0.0   ,      8,         26,          34
  2011010707, 20110107,        7,          1,           1,            0,               1,        0.2 ,       0.2121,     0.69,    0.1343,      8,         76,          84
  2011010708, 20110107,        8,          1,           1,            0,               1,        0.2 ,       0.197 ,     0.51,    0.2537,     20,        190,         210
  2011010709, 20110107,        9,          1,           1,            0,               1,        0.2 ,       0.1818,     0.47,    0.2985,      9,        125,         134
  2011010710, 20110107,       10,          1,           1,            0,               1,        0.22,       0.197 ,     0.37,    0.3284,     16,         47,          63
  2011010711, 20110107,       11,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.4 ,    0.2239,     19,         48,          67
  2011010712, 20110107,       12,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.37,    0.2537,      9,         50,          59
  2011010713, 20110107,       13,          1,           2,            0,               1,        0.2 ,       0.1818,     0.37,    0.2836,      9,         64,          73
  2011010714, 20110107,       14,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.4 ,    0.2537,      7,         43,          50
  2011010715, 20110107,       15,          1,           2,            0,               1,        0.2 ,       0.2121,     0.37,    0.1642,      9,         63,          72
  2011010716, 20110107,       16,          1,           2,            0,               1,        0.2 ,       0.2121,     0.37,    0.1642,      5,         82,          87
  2011010717, 20110107,       17,          1,           2,            0,               1,        0.2 ,       0.2576,     0.37,    0.0   ,      9,        178,         187
  2011010718, 20110107,       18,          1,           1,            0,               1,        0.2 ,       0.2273,     0.4 ,    0.0896,      7,        116,         123
  2011010719, 20110107,       19,          1,           1,            0,               1,        0.16,       0.197 ,     0.55,    0.0896,      3,         92,          95
  2011010720, 20110107,       20,          1,           1,            0,               1,        0.18,       0.2121,     0.47,    0.1045,      1,         50,          51
  2011010721, 20110107,       21,          1,           1,            0,               1,        0.18,       0.197 ,     0.47,    0.1343,      0,         39,          39
  2011010722, 20110107,       22,          1,           2,            0,               1,        0.18,       0.197 ,     0.43,    0.1642,      2,         34,          36
  2011010723, 20110107,       23,          1,           2,            0,               1,        0.18,       0.197 ,     0.51,    0.1642,      1,         14,          15
  2011010800, 20110108,        0,          1,           2,            0,               0,        0.18,       0.197 ,     0.51,    0.1642,      1,         24,          25
  2011010801, 20110108,        1,          1,           2,            0,               0,        0.18,       0.2121,     0.55,    0.0896,      1,         15,          16
  2011010802, 20110108,        2,          1,           2,            0,               0,        0.18,       0.2424,     0.55,    0.0   ,      3,         13,          16
  2011010803, 20110108,        3,          1,           3,            0,               0,        0.18,       0.197 ,     0.55,    0.1642,      0,          7,           7
  2011010804, 20110108,        4,          1,           3,            0,               0,        0.18,       0.197 ,     0.55,    0.1642,      0,          1,           1
  2011010805, 20110108,        5,          1,           2,            0,               0,        0.16,       0.1667,     0.74,    0.1642,      0,          5,           5
  2011010806, 20110108,        6,          1,           2,            0,               0,        0.16,       0.1667,     0.74,    0.1642,      0,          2,           2
  2011010807, 20110108,        7,          1,           2,            0,               0,        0.16,       0.1818,     0.74,    0.1045,      1,          8,           9
  2011010808, 20110108,        8,          1,           3,            0,               0,        0.16,       0.1818,     0.93,    0.1045,      0,         15,          15
  2011010809, 20110108,        9,          1,           3,            0,               0,        0.16,       0.1818,     0.93,    0.1045,      0,         20,          20
  2011010810, 20110108,       10,          1,           2,            0,               0,        0.18,       0.197 ,     0.8 ,    0.1642,      5,         56,          61
  2011010811, 20110108,       11,          1,           2,            0,               0,        0.2 ,       0.1818,     0.69,    0.3881,      2,         60,          62
  2011010812, 20110108,       12,          1,           2,            0,               0,        0.2 ,       0.1818,     0.59,    0.3582,      8,         90,          98
  2011010813, 20110108,       13,          1,           1,            0,               0,        0.2 ,       0.1818,     0.44,    0.3284,      7,         95,         102
  2011010814, 20110108,       14,          1,           1,            0,               0,        0.2 ,       0.1667,     0.32,    0.4925,     12,         83,          95
  2011010815, 20110108,       15,          1,           1,            0,               0,        0.2 ,       0.1667,     0.32,    0.4478,      5,         69,          74
  2011010816, 20110108,       16,          1,           1,            0,               0,        0.18,       0.1364,     0.29,    0.4478,      8,         68,          76
  2011010817, 20110108,       17,          1,           1,            0,               0,        0.16,       0.1212,     0.37,    0.5522,      5,         64,          69
  2011010818, 20110108,       18,          1,           1,            0,               0,        0.14,       0.1212,     0.39,    0.2985,      3,         52,          55
  2011010819, 20110108,       19,          1,           1,            0,               0,        0.14,       0.1212,     0.36,    0.2537,      4,         26,          30
  2011010820, 20110108,       20,          1,           1,            0,               0,        0.12,       0.1212,     0.36,    0.2537,      0,         28,          28
  2011010821, 20110108,       21,          1,           1,            0,               0,        0.12,       0.1061,     0.39,    0.3582,      2,         35,          37
  2011010822, 20110108,       22,          1,           1,            0,               0,        0.12,       0.1061,     0.36,    0.3881,      1,         33,          34
  2011010823, 20110108,       23,          1,           1,            0,               0,        0.1 ,       0.0606,     0.39,    0.4478,      0,         22,          22
  2011010900, 20110109,        0,          1,           1,            0,               0,        0.1 ,       0.0758,     0.42,    0.3881,      1,         24,          25
  2011010901, 20110109,        1,          1,           1,            0,               0,        0.1 ,       0.0606,     0.42,    0.4627,      0,         12,          12
  2011010902, 20110109,        2,          1,           1,            0,               0,        0.1 ,       0.0606,     0.46,    0.4627,      0,         11,          11
  2011010903, 20110109,        3,          1,           1,            0,               0,        0.1 ,       0.0758,     0.46,    0.4179,      0,          4,           4
  2011010904, 20110109,        4,          1,           1,            0,               0,        0.08,       0.0909,     0.53,    0.194 ,      0,          1,           1
  2011010905, 20110109,        5,          1,           1,            0,               0,        0.08,       0.0909,     0.53,    0.194 ,      0,          1,           1
  2011010906, 20110109,        6,          1,           1,            0,               0,        0.1 ,       0.0909,     0.49,    0.2836,      0,          1,           1
  2011010907, 20110109,        7,          1,           1,            0,               0,        0.08,       0.0909,     0.53,    0.194 ,      1,          5,           6
  2011010908, 20110109,        8,          1,           1,            0,               0,        0.1 ,       0.0909,     0.49,    0.2836,      0,         10,          10
  2011010909, 20110109,        9,          1,           1,            0,               0,        0.12,       0.0758,     0.46,    0.5224,      0,         19,          19
  2011010910, 20110109,       10,          1,           1,            0,               0,        0.14,       0.1061,     0.43,    0.3881,      0,         49,          49
  2011010911, 20110109,       11,          1,           1,            0,               0,        0.16,       0.1212,     0.4 ,    0.5224,      2,         47,          49
  2011010912, 20110109,       12,          1,           1,            0,               0,        0.18,       0.1364,     0.37,    0.4478,      4,         79,          83
  2011010913, 20110109,       13,          1,           1,            0,               0,        0.2 ,       0.1667,     0.34,    0.4478,      6,         69,          75
  2011010914, 20110109,       14,          1,           1,            0,               0,        0.22,       0.1818,     0.32,    0.4627,      8,         64,          72
  2011010915, 20110109,       15,          1,           1,            0,               0,        0.22,       0.197 ,     0.35,    0.3582,      5,         77,          82
  2011010916, 20110109,       16,          1,           1,            0,               0,        0.2 ,       0.1667,     0.34,    0.4478,     13,         79,          92
  2011010917, 20110109,       17,          1,           1,            0,               0,        0.18,       0.1515,     0.37,    0.3881,      3,         59,          62
  2011010918, 20110109,       18,          1,           1,            0,               0,        0.16,       0.1364,     0.4 ,    0.3284,      4,         44,          48
  2011010919, 20110109,       19,          1,           1,            0,               0,        0.16,       0.1364,     0.43,    0.3284,      1,         40,          41
  2011010920, 20110109,       20,          1,           1,            0,               0,        0.14,       0.1212,     0.46,    0.2537,      0,         38,          38
  2011010921, 20110109,       21,          1,           1,            0,               0,        0.14,       0.1061,     0.46,    0.4179,      1,         19,          20
  2011010922, 20110109,       22,          1,           1,            0,               0,        0.14,       0.1212,     0.46,    0.2985,      5,         10,          15
  2011010923, 20110109,       23,          1,           1,            0,               0,        0.12,       0.1364,     0.5 ,    0.194 ,      0,          6,           6
  2011011000, 20110110,        0,          1,           1,            0,               1,        0.12,       0.1212,     0.5 ,    0.2836,      2,          3,           5
  2011011001, 20110110,        1,          1,           1,            0,               1,        0.12,       0.1212,     0.5 ,    0.2836,      1,          0,           1
  2011011002, 20110110,        2,          1,           1,            0,               1,        0.12,       0.1212,     0.5 ,    0.2239,      0,          3,           3
  2011011003, 20110110,        3,          1,           1,            0,               1,        0.12,       0.1212,     0.5 ,    0.2239,      0,          1,           1
  2011011004, 20110110,        4,          1,           1,            0,               1,        0.1 ,       0.1212,     0.54,    0.1343,      1,          2,           3
  2011011005, 20110110,        5,          1,           1,            0,               1,        0.1 ,       0.1061,     0.54,    0.2537,      0,          3,           3
  2011011006, 20110110,        6,          1,           1,            0,               1,        0.12,       0.1212,     0.5 ,    0.2836,      0,         31,          31
  2011011007, 20110110,        7,          1,           1,            0,               1,        0.12,       0.1212,     0.5 ,    0.2239,      2,         75,          77
  2011011008, 20110110,        8,          1,           2,            0,               1,        0.12,       0.1212,     0.5 ,    0.2836,      4,        184,         188
  2011011009, 20110110,        9,          1,           2,            0,               1,        0.14,       0.1212,     0.5 ,    0.2537,      2,         92,          94
  2011011010, 20110110,       10,          1,           2,            0,               1,        0.14,       0.1212,     0.5 ,    0.2985,      0,         31,          31
  2011011011, 20110110,       11,          1,           2,            0,               1,        0.16,       0.1364,     0.47,    0.2836,      2,         28,          30
  2011011012, 20110110,       12,          1,           2,            0,               1,        0.2 ,       0.1818,     0.4 ,    0.2836,      5,         47,          52
  2011011013, 20110110,       13,          1,           2,            0,               1,        0.2 ,       0.1818,     0.4 ,    0.2836,      4,         50,          54
  2011011014, 20110110,       14,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.4 ,    0.2239,      0,         47,          47
  2011011015, 20110110,       15,          1,           2,            0,               1,        0.2 ,       0.197 ,     0.4 ,    0.2239,      2,         43,          45
  2011011016, 20110110,       16,          1,           1,            0,               1,        0.2 ,       0.2121,     0.4 ,    0.1343,      4,         70,          74
  2011011017, 20110110,       17,          1,           1,            0,               1,        0.2 ,       0.2273,     0.4 ,    0.1045,      4,        174,         178
  2011011018, 20110110,       18,          1,           1,            0,               1,        0.2 ,       0.197 ,     0.4 ,    0.2239,      1,        154,         155
  2011011019, 20110110,       19,          1,           1,            0,               1,        0.16,       0.1667,     0.47,    0.1642,      3,         92,          95
  2011011020, 20110110,       20,          1,           1,            0,               1,        0.16,       0.1667,     0.5 ,    0.1642,      1,         73,          74
  2011011021, 20110110,       21,          1,           1,            0,               1,        0.14,       0.1364,     0.59,    0.194 ,      1,         37,          38
  2011011022, 20110110,       22,          1,           1,            0,               1,        0.14,       0.1515,     0.59,    0.1642,      2,         22,          24
  2011011023, 20110110,       23,          1,           1,            0,               1,        0.14,       0.1515,     0.59,    0.1642,      0,         18,          18
  2011011100, 20110111,        0,          1,           1,            0,               1,        0.14,       0.1667,     0.59,    0.1045,      2,         10,          12
  2011011101, 20110111,        1,          1,           1,            0,               1,        0.14,       0.1515,     0.59,    0.1642,      0,          3,           3
  2011011102, 20110111,        2,          1,           2,            0,               1,        0.16,       0.1515,     0.55,    0.194 ,      0,          3,           3
  2011011105, 20110111,        5,          1,           2,            0,               1,        0.16,       0.1818,     0.55,    0.1343,      0,          6,           6
  2011011106, 20110111,        6,          1,           2,            0,               1,        0.16,       0.1818,     0.55,    0.1343,      0,         27,          27
